2025-05-12 16:22:11,657 - Cleared log file: /home/pi/smartcart/Pick-and-go-CS/src/app/logs/service.log
2025-05-12 16:22:11,809 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:13,968 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:16,173 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:18,364 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:20,420 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:22,467 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:24,723 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:26,884 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:29,019 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:31,173 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:33,218 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:35,376 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:37,526 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:39,569 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:41,715 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:43,750 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:45,947 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:47,993 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:50,138 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:52,284 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:54,472 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:56,664 - Status check - active: True, should_run: True, app: running
2025-05-12 16:22:58,835 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:01,004 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:03,072 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:05,140 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:07,176 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:09,220 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:11,278 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:13,319 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:15,522 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:17,606 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:19,663 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:21,779 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:23,825 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:26,230 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:28,301 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:30,341 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:32,446 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:34,618 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:36,959 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:39,032 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:41,102 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:43,199 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:45,240 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:47,328 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:49,555 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:51,605 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:53,958 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:56,003 - Status check - active: True, should_run: True, app: running
2025-05-12 16:23:58,042 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:00,203 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:02,258 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:04,305 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:06,346 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:08,391 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:10,430 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:12,565 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:14,771 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:16,909 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:18,963 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:21,084 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:23,317 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:25,649 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:27,750 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:29,928 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:31,974 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:34,030 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:36,111 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:38,266 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:40,312 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:42,361 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:44,541 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:46,595 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:48,932 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:51,071 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:53,115 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:55,241 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:57,302 - Status check - active: True, should_run: True, app: running
2025-05-12 16:24:59,368 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:01,573 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:03,650 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:05,913 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:08,141 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:10,239 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:12,281 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:14,332 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:16,387 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:18,500 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:20,563 - Status check - active: True, should_run: True, app: running
2025-05-12 16:25:22,623 - Status check - active: True, should_run: True, app: running
